t_index	term	df
960	barua	8
961	base	254
962	basebal	9
963	baseballstyl	1
964	baseerod	1
965	baselin	20
966	baselinebound	1
967	basement	1
968	basher	1
969	bashraheel	1
970	bashrahel	1
971	basi	16
972	basic	52
973	basilica	1
974	bask	2
975	basket	3
976	basketbal	1
977	basset	1
978	bassiouni	1
979	bastion	6
980	batch	1
981	bath	8
982	bathroom	3
983	bathtub	2
984	batic	2
985	baton	4
986	battalion	3
987	batten	1
988	batter	8
989	batteri	1
990	batteryoper	1
991	battl	90
992	battlefield	4
993	battleground	9
994	battleharden	2
995	bauman	7
996	bautista	1
997	bavaria	1
998	bay	8
999	bazaar	1
1000	bbc	39
1001	beach	17
1002	beachfront	1
1003	bead	1
1004	beal	2
1005	beam	15
1006	bean	3
1007	bear	26
1008	beard	19
1009	bearer	2
1010	beat	196
1011	beaten	35
1012	beater	3
1013	beaumontbas	1
1014	beauti	6
1015	beaver	2
1016	becausec	1
1017	beci	2
1018	becker	2
1019	bed	38
1020	bedanova	3
1021	bedi	34
1022	bedouin	1
1023	bedroom	6
1024	bedsheet	1
1025	beef	6
1026	beer	2
1027	befit	1
1028	befriend	1
1029	befuddl	1
1030	beg	4
1031	began	216
1032	beggar	1
1033	begin	176
1034	begun	35
1035	behalf	9
1036	behan	1
1037	behari	3
1038	behav	9
1039	behavior	10
1040	behindthescen	2
1041	beholden	3
1042	beij	4
1043	beirut	10
1044	bekki	3
1045	belaru	1
1046	belch	1
1047	beleagu	3
1048	belgian	8
1049	belgium	7
1050	belgrad	336
1051	beli	1
1052	belida	6
1053	belief	19
1054	believ	445
1055	belittl	1
1056	bell	4
1057	belliger	1
1058	belong	35
1059	belov	5
1060	belt	8
1061	bema	2
1062	bemoan	1
1063	ben	8
1064	bench	6
1065	benchmark	1
1066	bend	2
1067	beneath	34
1068	benefactor	2
1069	benefici	1
1070	beneficiari	2
1071	benefit	20
1072	benevol	7
1073	benign	1
1074	benin	8
1075	benito	1
1076	benjamin	2
1077	bennett	1
1078	benni	2
1079	bent	13
1080	benton	1
1081	bequeath	1
1082	berat	1
1083	bere	1
1084	beresich	3
1085	beretta	1
1086	bergen	1
1087	berger	52
1088	berlin	9
1089	bernstein	2
1090	bershard	1
1091	bershevski	1
1092	berth	2
1093	beschloss	1
1094	beset	2
1095	besieg	4
1096	bespectacl	2
1097	best	128
1098	bestequip	1
1099	bestkept	1
1100	bestknown	6
1101	beta	16
1102	betajon	2
1103	beth	1
1104	betray	4
1105	betrisia	1
1106	better	167
1107	bettertrain	1
1108	bevan	8
1109	beveneari	1
1110	bewild	1
1111	bhaba	2
1112	bhachau	4
1113	bhagat	2
1114	bhakta	7
1115	bharatiya	3
1116	bharpi	3
1117	bhaskar	5
1118	bhat	2
1119	bhatt	1
1120	bhavesh	3
1121	bhowmik	1
1122	bhug	1
1123	bhuj	114
1124	bia	1
1125	biafran	2
1126	biarritz	3
1127	bias	9
1128	bibl	6
1129	bibleread	1
1130	biblic	1
1131	bicker	3
1132	bicycl	5
1133	bid	55
1134	bidanora	1
1135	big	91
1136	bigciti	1
1137	bigger	8
1138	biggest	43
1139	bigot	2
1140	bigticket	1
1141	bihari	12
1142	bilater	11
1143	bilingu	1
1144	billboard	2
1145	billet	1
1146	billi	7
1147	billion	64
1148	billionair	10
1149	billiondollar	5
1150	billow	15
1151	biltera	1
1152	bimal	2
1153	bin	285
1154	bind	5
1155	bindra	5
1156	bingaman	2
1157	bingo	1
1158	binladen	1
1159	binocular	5
1160	biogeneticist	1
1161	biograph	3
1162	biographi	4
1163	biolog	4
1164	bion	1
1165	bipartisan	2
1166	bipartisanship	1
1167	bird	9
1168	birger	1
1169	birth	9
1170	birthday	8
1171	birthmark	1
1172	birthplac	1
1173	biscuit	3
1174	bishop	3
1175	bit	52
1176	bite	2
1177	bitka	1
1178	bitten	1
1179	bitter	20
1180	bitterli	10
1181	bittersweet	2
1182	bizarr	10
1183	bjorn	1
1184	black	67
1185	blackclad	1
1186	blacken	4
1187	blackmail	5
1188	blackout	4
1189	blackrob	3
1190	blackti	2
1191	blade	2
1192	blair	18
1193	blakemor	2
1194	blame	62
1195	blanchard	1
1196	blanco	17
1197	bland	1
1198	blanda	2
1199	blank	2
1200	blanket	44
1201	blankli	2
1202	blare	1
1203	blast	220
1204	blatant	2
1205	blaze	6
1206	bleach	1
1207	bleachblond	1
1208	bleacher	1
1209	bleak	1
1210	bled	1
1211	bleed	3
1212	blemish	1
1213	blend	4
1214	bless	10
1215	blew	43
1216	blewup	1
1217	blind	8
